index,feature_name,feature_group
159,Lab_ch1_hist_bin31,Color
160,Lab_ch2_hist_bin0,Color
161,Lab_ch2_hist_bin1,Color
162,Lab_ch2_hist_bin2,Color
163,Lab_ch2_hist_bin3,Color
164,Lab_ch2_hist_bin4,Color
165,Lab_ch2_hist_bin5,Color
166,Lab_ch2_hist_bin6,Color
167,Lab_ch2_hist_bin7,Color
168,Lab_ch2_hist_bin8,Color
169,Lab_ch2_hist_bin9,Color
170,Lab_ch2_hist_bin10,Color
171,Lab_ch2_hist_bin11,Color
172,Lab_ch2_hist_bin12,Color
173,Lab_ch2_hist_bin13,Color
174,Lab_ch2_hist_bin14,Color
175,Lab_ch2_hist_bin15,Color
176,Lab_ch2_hist_bin16,Color
177,Lab_ch2_hist_bin17,Color
178,Lab_ch2_hist_bin18,Color
179,Lab_ch2_hist_bin19,Color
180,Lab_ch2_hist_bin20,Color
181,Lab_ch2_hist_bin21,Color
182,Lab_ch2_hist_bin22,Color
183,Lab_ch2_hist_bin23,Color
184,Lab_ch2_hist_bin24,Color
185,Lab_ch2_hist_bin25,Color
186,Lab_ch2_hist_bin26,Color
187,Lab_ch2_hist_bin27,Color
188,Lab_ch2_hist_bin28,Color
189,Lab_ch2_hist_bin29,Color
190,Lab_ch2_hist_bin30,Color
191,Lab_ch2_hist_bin31,Color
192,LBP_feat_0,LBP
193,LBP_feat_1,LBP
194,LBP_feat_2,LBP
195,LBP_feat_3,LBP
196,LBP_feat_4,LBP
197,LBP_feat_5,LBP
198,LBP_feat_6,LBP
199,LBP_feat_7,LBP
200,LBP_feat_8,LBP
201,LBP_feat_9,LBP
202,LBP_feat_10,LBP
203,LBP_feat_11,LBP
204,LBP_feat_12,LBP
205,LBP_feat_13,LBP
206,LBP_feat_14,LBP
207,LBP_feat_15,LBP
208,LBP_feat_16,LBP
209,LBP_feat_17,LBP
210,LBP_feat_18,LBP
211,LBP_feat_19,LBP
212,LBP_feat_20,LBP
213,LBP_feat_21,LBP
214,LBP_feat_22,LBP
215,LBP_feat_23,LBP
216,LBP_feat_24,LBP
217,LBP_feat_25,LBP
218,LBP_feat_26,LBP
219,LBP_feat_27,LBP
220,LBP_feat_28,LBP
221,LBP_feat_29,LBP
222,LBP_feat_30,LBP
223,LBP_feat_31,LBP
224,LBP_feat_32,LBP
225,LBP_feat_33,LBP
226,LBP_feat_34,LBP
227,LBP_feat_35,LBP
228,LBP_feat_36,LBP
229,LBP_feat_37,LBP
230,LBP_feat_38,LBP
231,LBP_feat_39,LBP
232,LBP_feat_40,LBP
233,LBP_feat_41,LBP
234,LBP_feat_42,LBP
235,LBP_feat_43,LBP
236,LBP_feat_44,LBP
237,LBP_feat_45,LBP
238,LBP_feat_46,LBP
239,LBP_feat_47,LBP
240,LBP_feat_48,LBP
241,LBP_feat_49,LBP
242,LBP_feat_50,LBP
243,LBP_feat_51,LBP
244,LBP_feat_52,LBP
245,LBP_feat_53,LBP
246,LBP_feat_54,LBP
247,LBP_feat_55,LBP
248,LBP_feat_56,LBP
249,LBP_feat_57,LBP
250,LBP_feat_58,LBP
251,LBP_feat_59,LBP
252,LBP_feat_60,LBP
253,LBP_feat_61,LBP
254,LBP_feat_62,LBP
255,LBP_feat_63,LBP
256,LBP_feat_64,LBP
